Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
373460,2 parks,Trolejbuss,29102,Centrālā stacija - Mežciems,Tr 18,Back,23.11.2018 07:32:10,10
373461,1 parks,Trolejbuss,19650,Valmieras iela  -  Pētersalas iela,Tr 1,Back,23.11.2018 07:37:49,10
373462,1 parks,Trolejbuss,17649,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 08:27:06,10
373463,5 parks,Tramvajs,57147,Imanta - Jugla,Tm 1,Back,23.11.2018 08:56:33,10
373464,5 parks,Tramvajs,58044,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 09:31:15,10
373465,5 parks,Tramvajs,50857,Ausekļa iela - Mežaparks,Tm 11,Forth,23.11.2018 10:08:32,10
373466,5 parks,Tramvajs,57169,Tramvaja Depo - Maršruts,Tm 100,Forth,23.11.2018 10:45:27,10
373467,5 parks,Tramvajs,57093,Imanta - Jugla,Tm 1,Forth,23.11.2018 16:36:14,10
373468,3 parks,Tramvajs,30896,Imanta - Jugla,Tm 1,Back,23.11.2018 17:58:00,10
399977,7 parks,Autobuss,76102,Abrenes iela - Ulbroka,A 51,Forth,23.11.2018 08:27:37,18
399978,1 parks,Trolejbuss,16197,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 08:47:47,18
399979,1 parks,Trolejbuss,16186,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 09:05:12,18
399980,7 parks,Autobuss,79153,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 09:21:23,18
399981,7 parks,Autobuss,79142,Jugla 3 - Ziepniekkalns,A 40,Forth,23.11.2018 12:39:56,18
399982,1 parks,Trolejbuss,16186,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 13:07:39,18
399983,1 parks,Trolejbuss,17531,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 13:22:33,18
399984,7 parks,Autobuss,79643,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 14:04:48,18
399985,7 parks,Autobuss,79349,Jugla 3 - Ziepniekkalns,A 40,Forth,23.11.2018 14:10:27,18
399986,7 parks,Autobuss,79229,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 14:39:05,18
399987,1 parks,Trolejbuss,16055,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 14:57:25,18
399988,1 parks,Trolejbuss,16262,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 15:10:52,18
399989,7 parks,Autobuss,78016,Abrenes iela - Ulbroka,A 51,Forth,23.11.2018 15:26:07,18
399990,6 parks,Autobuss,69221,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 15:49:15,18
399991,6 parks,Autobuss,69112,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 16:17:19,18
399992,7 parks,Autobuss,78071,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 16:36:04,18
399993,7 parks,Autobuss,79251,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 18:41:06,18
399994,1 parks,Trolejbuss,17651,Trolejbusa Parks - Maršruts,Tr 101,Forth,23.11.2018 19:03:24,18
420119,7 parks,Autobuss,79349,Jugla 3 - Ziepniekkalns,A 40,Forth,23.11.2018 08:36:08,16
420120,2 parks,Trolejbuss,29026,Esplanāde - Mežciems,Tr 14,Back,23.11.2018 09:04:38,16
420121,5 parks,Tramvajs,57158,Imanta - Jugla,Tm 1,Back,23.11.2018 09:24:22,16
420122,5 parks,Tramvajs,57093,Imanta - Jugla,Tm 1,Back,23.11.2018 09:36:50,16
420123,5 parks,Tramvajs,57517,Imanta - Jugla,Tm 1,Back,23.11.2018 10:18:32,16
420124,3 parks,Tramvajs,35130,Ausekļa iela - 'Dole',Tm 7,Forth,23.11.2018 10:38:39,16
420125,3 parks,Tramvajs,32036,Ausekļa iela - 'Dole',Tm 7,Back,23.11.2018 10:57:42,16
420126,5 parks,Tramvajs,57093,Imanta - Jugla,Tm 1,Forth,23.11.2018 11:14:34,16
420127,2 parks,Trolejbuss,28467,Esplanāde - Mežciems,Tr 14,Back,23.11.2018 12:12:51,16
420128,7 parks,Autobuss,79774,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 12:24:27,16
